analysis_ID,pdc_sample_ID,latitude,longitude
ID41W11,ITH.D41.W.11,68.633,-133.656
IL1W8,ITH.L1.W.8,68.632,-133.652
IL1W12,ITH.L1.W.12,68.632,-133.651
IL1W21,ITH.L1.W.21,68.632,-133.651
IL1W25,ITH.L1.W.25,68.632,-133.651
IL1W28,ITH.L1.W.28,68.632,-133.651
IL3W38,ITH.L3.W.38,68.906,-133.497
TL1W7,TVC.L1.W.7,68.755,-133.465
TL1W8,TVC.L1.W.8,68.755,-133.465
TL1W19,TVC.L1.W.19,68.755,-133.465
TL3W19,TVC.L3.W.19,68.73965397,-133.522731
TL3W42,TVC.L3.W.42,68.74,-133.522
IL3W20,ITH.L3.W.20,68.906,-133.497
IL3W49,ITH.L3.W.49,68.905,-133.497
IL12W10,ITH.L12.W.10,68.56,-133.742
W010,ITH.L11.W.10,68.558,-133.743
W045,ITH.LD40.W.45,68.631,-133.651
W050,ITH.LD40.W.50,68.631,-133.651
W053,ITH.LD40.W.53,68.631,-133.651
W068,ITH.L41.W.68,68.668,-133.562
W072,ITH.L41.W.72,68.668,-133.562
W073,ITH.L41.W.73,68.668,-133.562
W090,ITH.L41.W.90,68.668,-133.562
W092,ITH.L41.W.92,68.668,-133.562
W225,ITH.L48.W.225,68.556,-133.777
W240,ITH.L49.W.240,68.678,-133.582
W264,ITH.L49.W.264,68.678,-133.582
W265,ITH.L49.W.265,68.678,-133.582
W326,ITH.L51.W.326,69.267,-132.906
W348,ITH.L51.W.348,69.267,-132.907
W354,ITH.L52.W.354,69.351,-133.03
W356,ITH.L52.W.356,69.351,-133.03
W381,ITH.L54.W.381,69.344,-133.047
W397,ITH.L54.W.397,69.344,-133.048
W407,ITH.L55.W.407,69.346,-133.032
W409,ITH.L55.W.409,69.346,-133.032
W413,ITH.L55.W.413,69.346,-133.032
W425,ITH.L55.W.425,69.346,-133.033
W431,ITH.L55.W.431,69.346,-133.033
W441,ITH.D53.W.441,69.345,-133.043
W448,ITH.D53.W.448,69.345,-133.043
W453,ITH.D53.W.453,69.345,-133.043
W478,ITH.L56.W.478,69.315,-133.002
W497,ITH.L56.W.497,69.315,-133.002
W628,ITH.D68.W.628,68.632,-133.651
W634,ITH.D68.W.634,68.631,-133.651
W658,ITH.D72.W.658,68.633,-133.655
W666,ITH.D72.W.666,68.633,-133.655
W668,ITH.D72.W.668,68.633,-133.655
W683,ITH.D72.W.683,68.633,-133.655
W709,ITH.L73.W.709,68.633,-133.657
W724,ITH.D74.W.724,68.633,-133.655
W732,ITH.D74.W.732,68.633,-133.655
W781,ITH.D75.W.781,68.633,-133.662
W783,ITH.D75.W.783,68.633,-133.661
W818,ITH.D76.W.818,68.633,-133.664
W823,ITH.D76.W.823,68.633,-133.664
W1030,ITH.L74.W.1030,68.633,-133.656
W1031,ITH.L74.W.1031,68.633,-133.656
W1032,ITH.L74.W.1032,68.633,-133.656
W1043,ITH.U.W.1043,68.836,-133.562
W1081,ITH.D15.W.1081,69.199,-132.931
W1112,ITH.D98.W.1112,68.898,-133.544
W1113,ITH.D98.W.1113,68.898,-133.544
W1118,ITH.L9.W.1118,69.143,-133.038
W1119,ITH.L9.W.1119,69.143,-133.038
W1120,ITH.L9.W.1120,69.143,-133.038
W1121,ITH.L9.W.1121,69.143,-133.038
W1122,ITH.L102.W.1122,69.042,-133.208
W1123,ITH.L102.W.1123,69.042,-133.208
W1131,ITH.L105.W.1131,69.359,-133.043
W1132,ITH.L105.W.1132,69.359,-133.043
W1134,ITH.L105.W.1134,69.359,-133.042
